,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228
SOH,1,0.9999997,0.999999,0.9999977,0.9999959,0.9999937,0.9999909,0.999988,0.999984,0.99998,0.999975,0.99997,0.999964,0.999958,0.999951,0.999944,0.999936,0.999928,0.999919,0.99991,0.9999,0.99989,0.999879,0.999868,0.999856,0.999844,0.999831,0.999818,0.999804,0.99979,0.999775,0.99976,0.999744,0.999728,0.999711,0.999694,0.999676,0.999658,0.999639,0.99962,0.9996,0.99958,0.999559,0.999538,0.999516,0.999494,0.999471,0.999448,0.999424,0.9994,0.999375,0.999324,0.999271,0.999216,0.999159,0.9991,0.999039,0.998976,0.998911,0.998844,0.998775,0.998704,0.998631,0.998556,0.998479,0.9984,0.998319,0.998236,0.998151,0.998064,0.997975,0.997884,0.997791,0.997696,0.997599,0.9975,0.997399,0.997296,0.997191,0.997084,0.996975,0.996864,0.996751,0.996636,0.996519,0.9964,0.996156,0.995904,0.995644,0.995376,0.9951,0.994816,0.994524,0.994224,0.993916,0.9936,0.993276,0.992944,0.992604,0.992256,0.9919,0.991536,0.991164,0.990784,0.990396,0.99,0.989596,0.989184,0.988764,0.988336,0.9879,0.987456,0.987004,0.986544,0.986076,0.9856,0.985116,0.984624,0.984124,0.983616,0.9831,0.982576,0.982044,0.981504,0.980956,0.9804,0.978975,0.9775,0.975975,0.9744,0.972775,0.9711,0.969375,0.9676,0.965775,0.9639,0.961975,0.96,0.957975,0.9559,0.953775,0.9516,0.949375,0.9471,0.944775,0.9424,0.939975,0.9375,0.934975,0.9324,0.929775,0.9271,0.924375,0.9216,0.918775,0.9159,0.912975,0.91,0.9039,0.8976,0.8911,0.8844,0.8775,0.8704,0.8631,0.8556,0.8479,0.84,0.8319,0.8236,0.8151,0.8064,0.7975,0.7884,0.7791,0.7696,0.7599,0.75,0.7399,0.7296,0.7191,0.7084,0.6975,0.6864,0.6751,0.6636,0.6519,0.64,0.6279,0.6156,0.6031,0.5904,0.5775,0.5644,0.5511,0.5376,0.5239,0.51,0.4959,0.4816,0.4671,0.4524,0.4375,0.4224,0.4071,0.3916,0.3759,0.36,0.3439,0.3276,0.3111,0.2944,0.2775,0.2604,0.2431,0.2256,0.2079,0.19,0.1719,0.1536,0.1351,0.1164,0.0975,0.0784,0.0591,0.0396,0.0199,0.009975,0
SOH_lower_limit,0.9999999,0.9999994,0.9999984,0.9999969,0.9999949,0.9999924,0.999989,0.999986,0.999982,0.999977,0.999972,0.999967,0.999961,0.999954,0.999947,0.99994,0.999932,0.999923,0.999914,0.999905,0.999895,0.999884,0.999873,0.999862,0.99985,0.999837,0.999824,0.999811,0.999797,0.999782,0.999767,0.999752,0.999736,0.999719,0.999702,0.999685,0.999667,0.999648,0.999629,0.99961,0.99959,0.999569,0.999548,0.999527,0.999505,0.999482,0.999459,0.999436,0.999412,0.999387,0.99935,0.999298,0.999244,0.999188,0.99913,0.99907,0.999008,0.998944,0.998878,0.99881,0.99874,0.998668,0.998594,0.998518,0.99844,0.99836,0.998278,0.998194,0.998108,0.99802,0.99793,0.997838,0.997744,0.997648,0.99755,0.99745,0.997348,0.997244,0.997138,0.99703,0.99692,0.996808,0.996694,0.996578,0.99646,0.996279,0.996031,0.995775,0.995511,0.995239,0.994959,0.994671,0.994375,0.994071,0.993759,0.993439,0.993111,0.992775,0.992431,0.992079,0.991719,0.991351,0.990975,0.990591,0.990199,0.989799,0.989391,0.988975,0.988551,0.988119,0.987679,0.987231,0.986775,0.986311,0.985839,0.985359,0.984871,0.984375,0.983871,0.983359,0.982839,0.982311,0.981775,0.981231,0.980679,0.979694,0.978244,0.976744,0.975194,0.973594,0.971944,0.970244,0.968494,0.966694,0.964844,0.962944,0.960994,0.958994,0.956944,0.954844,0.952694,0.950494,0.948244,0.945944,0.943594,0.941194,0.938744,0.936244,0.933694,0.931094,0.928444,0.925744,0.922994,0.920194,0.917344,0.914444,0.911494,0.906975,0.900775,0.894375,0.887775,0.880975,0.873975,0.866775,0.859375,0.851775,0.843975,0.835975,0.827775,0.819375,0.810775,0.801975,0.792975,0.783775,0.774375,0.764775,0.754975,0.744975,0.734775,0.724375,0.713775,0.702975,0.691975,0.680775,0.669375,0.657775,0.645975,0.633975,0.621775,0.609375,0.596775,0.583975,0.570975,0.557775,0.544375,0.530775,0.516975,0.502975,0.488775,0.474375,0.459775,0.444975,0.429975,0.414775,0.399375,0.383775,0.367975,0.351975,0.335775,0.319375,0.302775,0.285975,0.268975,0.251775,0.234375,0.216775,0.198975,0.180975,0.162775,0.144375,0.125775,0.106975,0.087975,0.068775,0.049375,0.029775,0.014944,0.004994,0
sum_p_0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sum_p_1,640000,640000,640000,640000,640000,640000,640000,640000,640000,640000,640000,640000,640000,640000,640000,640000,640000,640000,640000,640000,640000,640000,640000,640000,640000,640000,640000,640000,640000,640000,640000,640000,640000,640000,640000,640000,640000,640000,640000,640000,640000,640000,640000,640000,640000,640000,640000,640000,640000,640000,640000,640000,640000,640000,640000,640000,640000,640000,640000,640000,640000,640000,640000,640000,640000,640000,640000,640000,640000,640000,640000,640000,640000,640000,640000,640000,640000,640000,640000,640000,640000,640000,640000,640000,640000,640000,640000,640000,640000,640000,640000,640000,640000,640000,640000,640000,640000,640000,640000,640000,640000,640000,640000,640000,640000,640000,640000,640000,640000,640000,640000,640000,640000,640000,640000,640000,640000,640000,640000,640000,640000,640000,640000,640000,640000,640000,640000,640000,640000,640000,640000,640000,640000,640000,640000,640000,640000,640000,640000,640000,640000,640000,640000,640000,640000,640000,640000,640000,640000,640000,640000,640000,640000,640000,640000,640000,640000,640000,640000,640000,640000,640000,640000,640000,640000,640000,640000,640000,640000,640000,640000,640000,640000,640000,640000,640000,640000,640000,640000,640000,640000,640000,640000,640000,640000,640000,640000,640000,640000,640000,640000,640000,640000,640000,640000,640000,640000,640000,640000,640000,640000,640000,640000,640000,640000,640000,640000,640000,640000,640000,640000,640000,640000,640000,640000,640000,640000,640000,640000,640000,640000,640000,640000,640000,640000,640000,640000,640000,640000
sum_p_2,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000
sum_p_3,1920000,1920000,1920000,1920000,1920000,1920000,1920000,1920000,1920000,1920000,1920000,1920000,1920000,1920000,1920000,1920000,1920000,1920000,1920000,1920000,1920000,1920000,1920000,1920000,1920000,1920000,1920000,1920000,1920000,1920000,1920000,1920000,1920000,1920000,1920000,1920000,1920000,1920000,1920000,1920000,1920000,1920000,1920000,1920000,1920000,1920000,1920000,1920000,1920000,1920000,1920000,1920000,1920000,1920000,1920000,1920000,1920000,1920000,1920000,1920000,1920000,1920000,1920000,1920000,1920000,1920000,1920000,1920000,1920000,1920000,1920000,1920000,1920000,1920000,1920000,1920000,1920000,1920000,1920000,1920000,1920000,1920000,1920000,1920000,1920000,1920000,1920000,1920000,1920000,1920000,1920000,1920000,1920000,1920000,1920000,1920000,1920000,1920000,1920000,1920000,1920000,1920000,1920000,1920000,1920000,1920000,1920000,1920000,1920000,1920000,1920000,1920000,1920000,1920000,1920000,1920000,1920000,1920000,1920000,1920000,1920000,1920000,1920000,1920000,1920000,1920000,1920000,1920000,1920000,1920000,1920000,1920000,1920000,1920000,1920000,1920000,1920000,1920000,1920000,1920000,1920000,1920000,1920000,1920000,1920000,1920000,1920000,1920000,1920000,1920000,1920000,1920000,1920000,1920000,1920000,1920000,1920000,1920000,1920000,1920000,1920000,1920000,1920000,1920000,1920000,1920000,1920000,1920000,1920000,1920000,1920000,1920000,1920000,1920000,1920000,1920000,1920000,1920000,1920000,1920000,1920000,1920000,1920000,1920000,1920000,1920000,1920000,1920000,1920000,1920000,1920000,1920000,1920000,1920000,1920000,1920000,1920000,1920000,1920000,1920000,1920000,1920000,1920000,1920000,1920000,1920000,1920000,1920000,1920000,1920000,1920000,1920000,1920000,1920000,1920000,1920000,1920000,1920000,1920000,1920000,1920000,1920000,1920000,1920000,1920000,1920000,1920000,1920000,1920000
sum_p_4,2560000,2560000,2560000,2560000,2560000,2560000,2560000,2560000,2560000,2560000,2560000,2560000,2560000,2560000,2560000,2560000,2560000,2560000,2560000,2560000,2560000,2560000,2560000,2560000,2560000,2560000,2560000,2560000,2560000,2560000,2560000,2560000,2560000,2560000,2560000,2560000,2560000,2560000,2560000,2560000,2560000,2560000,2560000,2560000,2560000,2560000,2560000,2560000,2560000,2560000,2560000,2560000,2560000,2560000,2560000,2560000,2560000,2560000,2560000,2560000,2560000,2560000,2560000,2560000,2560000,2560000,2560000,2560000,2560000,2560000,2560000,2560000,2560000,2560000,2560000,2560000,2560000,2560000,2560000,2560000,2560000,2560000,2560000,2560000,2560000,2560000,2560000,2560000,2560000,2560000,2560000,2560000,2560000,2560000,2560000,2560000,2560000,2560000,2560000,2560000,2560000,2560000,2560000,2560000,2560000,2560000,2560000,2560000,2560000,2560000,2560000,2560000,2560000,2560000,2560000,2560000,2560000,2560000,2560000,2560000,2560000,2560000,2560000,2560000,2560000,2560000,2560000,2560000,2560000,2560000,2560000,2560000,2560000,2560000,2560000,2560000,2560000,2560000,2560000,2560000,2560000,2560000,2560000,2560000,2560000,2560000,2560000,2560000,2560000,2560000,2560000,2560000,2560000,2560000,2560000,2560000,2560000,2560000,2560000,2560000,2560000,2560000,2560000,2560000,2560000,2560000,2560000,2560000,2560000,2560000,2560000,2560000,2560000,2560000,2560000,2560000,2560000,2560000,2560000,2560000,2560000,2560000,2560000,2560000,2560000,2560000,2560000,2560000,2560000,2560000,2560000,2560000,2560000,2560000,2560000,2560000,2560000,2560000,2560000,2560000,2560000,2560000,2560000,2560000,2560000,2560000,2560000,2560000,2560000,2560000,2560000,2560000,2560000,2560000,2560000,2560000,2560000,2560000,2560000,2560000,2560000,2560000,2560000,2560000,2560000,2560000,2560000,2560000,2560000
sum_p_5,3200000,3200000,3200000,3200000,3200000,3200000,3200000,3200000,3200000,3200000,3200000,3200000,3200000,3200000,3200000,3200000,3200000,3200000,3200000,3200000,3200000,3200000,3200000,3200000,3200000,3200000,3200000,3200000,3200000,3200000,3200000,3200000,3200000,3200000,3200000,3200000,3200000,3200000,3200000,3200000,3200000,3200000,3200000,3200000,3200000,3200000,3200000,3200000,3200000,3200000,3200000,3200000,3200000,3200000,3200000,3200000,3200000,3200000,3200000,3200000,3200000,3200000,3200000,3200000,3200000,3200000,3200000,3200000,3200000,3200000,3200000,3200000,3200000,3200000,3200000,3200000,3200000,3200000,3200000,3200000,3200000,3200000,3200000,3200000,3200000,3200000,3200000,3200000,3200000,3200000,3200000,3200000,3200000,3200000,3200000,3200000,3200000,3200000,3200000,3200000,3200000,3200000,3200000,3200000,3200000,3200000,3200000,3200000,3200000,3200000,3200000,3200000,3200000,3200000,3200000,3200000,3200000,3200000,3200000,3200000,3200000,3200000,3200000,3200000,3200000,3200000,3200000,3200000,3200000,3200000,3200000,3200000,3200000,3200000,3200000,3200000,3200000,3200000,3200000,3200000,3200000,3200000,3200000,3200000,3200000,3200000,3200000,3200000,3200000,3200000,3200000,3200000,3200000,3200000,3200000,3200000,3200000,3200000,3200000,3200000,3200000,3200000,3200000,3200000,3200000,3200000,3200000,3200000,3200000,3200000,3200000,3200000,3200000,3200000,3200000,3200000,3200000,3200000,3200000,3200000,3200000,3200000,3200000,3200000,3200000,3200000,3200000,3200000,3200000,3200000,3200000,3200000,3200000,3200000,3200000,3200000,3200000,3200000,3200000,3200000,3200000,3200000,3200000,3200000,3200000,3200000,3200000,3200000,3200000,3200000,3200000,3200000,3200000,3200000,3200000,3200000,3200000,3200000,3200000,3200000,3200000,3200000,3200000,3200000,3200000,3200000,3200000,3200000,3200000
sum_p_6,3840000,3840000,3840000,3840000,3840000,3840000,3840000,3840000,3840000,3840000,3840000,3840000,3840000,3840000,3840000,3840000,3840000,3840000,3840000,3840000,3840000,3840000,3840000,3840000,3840000,3840000,3840000,3840000,3840000,3840000,3840000,3840000,3840000,3840000,3840000,3840000,3840000,3840000,3840000,3840000,3840000,3840000,3840000,3840000,3840000,3840000,3840000,3840000,3840000,3840000,3840000,3840000,3840000,3840000,3840000,3840000,3840000,3840000,3840000,3840000,3840000,3840000,3840000,3840000,3840000,3840000,3840000,3840000,3840000,3840000,3840000,3840000,3840000,3840000,3840000,3840000,3840000,3840000,3840000,3840000,3840000,3840000,3840000,3840000,3840000,3840000,3840000,3840000,3840000,3840000,3840000,3840000,3840000,3840000,3840000,3840000,3840000,3840000,3840000,3840000,3840000,3840000,3840000,3840000,3840000,3840000,3840000,3840000,3840000,3840000,3840000,3840000,3840000,3840000,3840000,3840000,3840000,3840000,3840000,3840000,3840000,3840000,3840000,3840000,3840000,3840000,3840000,3840000,3840000,3840000,3840000,3840000,3840000,3840000,3840000,3840000,3840000,3840000,3840000,3840000,3840000,3840000,3840000,3840000,3840000,3840000,3840000,3840000,3840000,3840000,3840000,3840000,3840000,3840000,3840000,3840000,3840000,3840000,3840000,3840000,3840000,3840000,3840000,3840000,3840000,3840000,3840000,3840000,3840000,3840000,3840000,3840000,3840000,3840000,3840000,3840000,3840000,3840000,3840000,3840000,3840000,3840000,3840000,3840000,3840000,3840000,3840000,3840000,3840000,3840000,3840000,3840000,3840000,3840000,3840000,3840000,3840000,3840000,3840000,3840000,3840000,3840000,3840000,3840000,3840000,3840000,3840000,3840000,3840000,3840000,3840000,3840000,3840000,3840000,3840000,3840000,3840000,3840000,3840000,3840000,3840000,3840000,3840000,3840000,3840000,3840000,3840000,3840000,3840000
sum_p_7,4480000,4480000,4480000,4480000,4480000,4480000,4480000,4480000,4480000,4480000,4480000,4480000,4480000,4480000,4480000,4480000,4480000,4480000,4480000,4480000,4480000,4480000,4480000,4480000,4480000,4480000,4480000,4480000,4480000,4480000,4480000,4480000,4480000,4480000,4480000,4480000,4480000,4480000,4480000,4480000,4480000,4480000,4480000,4480000,4480000,4480000,4480000,4480000,4480000,4480000,4480000,4480000,4480000,4480000,4480000,4480000,4480000,4480000,4480000,4480000,4480000,4480000,4480000,4480000,4480000,4480000,4480000,4480000,4480000,4480000,4480000,4480000,4480000,4480000,4480000,4480000,4480000,4480000,4480000,4480000,4480000,4480000,4480000,4480000,4480000,4480000,4480000,4480000,4480000,4480000,4480000,4480000,4480000,4480000,4480000,4480000,4480000,4480000,4480000,4480000,4480000,4480000,4480000,4480000,4480000,4480000,4480000,4480000,4480000,4480000,4480000,4480000,4480000,4480000,4480000,4480000,4480000,4480000,4480000,4480000,4480000,4480000,4480000,4480000,4480000,4480000,4480000,4480000,4480000,4480000,4480000,4480000,4480000,4480000,4480000,4480000,4480000,4480000,4480000,4480000,4480000,4480000,4480000,4480000,4480000,4480000,4480000,4480000,4480000,4480000,4480000,4480000,4480000,4480000,4480000,4480000,4480000,4480000,4480000,4480000,4480000,4480000,4480000,4480000,4480000,4480000,4480000,4480000,4480000,4480000,4480000,4480000,4480000,4480000,4480000,4480000,4480000,4480000,4480000,4480000,4480000,4480000,4480000,4480000,4480000,4480000,4480000,4480000,4480000,4480000,4480000,4480000,4480000,4480000,4480000,4480000,4480000,4480000,4480000,4480000,4480000,4480000,4480000,4480000,4480000,4480000,4480000,4480000,4480000,4480000,4480000,4480000,4480000,4480000,4480000,4480000,4480000,4480000,4480000,4480000,4480000,4480000,4480000,4480000,4480000,4480000,4480000,4480000,4480000
